year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,53b7ed52-6ee1-4eee-a0e9-f3c4fe650771,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,55a37cb6-ef85-469a-bdf9-8666f6bf59a6,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,6b3b60f0-520c-4ef6-86e7-e63d25c7f761,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,46ac963d-2ea3-49b4-a79a-b573e6998dd4,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,e75fafae-35e1-4486-b4f2-5f4b21cfedf3,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,4ea908e7-91ef-4de2-b8f9-a20eaefa252b,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,135c8449-61e3-46f6-b897-7f9274e91112,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,5bab033d-879c-4820-b3ed-66f374e97183,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,a7474dab-9399-437a-99c6-99a91278c6b6,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,f987e31e-038c-47a0-95bf-693a28c1eafc,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,80ea1219-6db9-477b-84ac-2b2679ca4fab,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,9080c48e-9fee-4bad-be9e-c0c77da92dea,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,d2bf6ca1-20b5-449f-a468-17dd805fe088,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,b274d002-e3bd-4fea-ab3f-e877fa44fe42,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,e170877d-edec-4b93-b0d1-b1cbdcdcb7dc,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,fdd42074-d576-4705-b51d-db704958d86e,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,91652fa7-f6e8-4edc-b5ca-2d7920976855,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,ecce28f9-bf67-4dc5-a7a3-d4df7402efd2,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,d89590ca-ea90-4be6-9e40-497d8d61d207,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,f052935b-3023-4d22-92d0-faa6d6ca60d2,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,1d835eba-3190-4a4e-acde-6f43cd83f78d,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,3d823035-2ace-4813-b355-d801f27a5cf8,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,nan,4625d591-422d-4984-a27b-6965d4ec7478,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,35a7d3d2-8070-4646-bfba-726617dfde8a,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1950,Final Round,Brazil,7,1,Sweden,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-09,nan,2e8e78ef-c98c-415d-908f-684bc8a970c4,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1950,Final Round,Uruguay,3,2,Sweden,Estádio do Maracanã,São Paulo,Brazil,1950-07-09,nan,caaadc16-9256-40d7-b1b1-a6badde842b9,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
1950,Final Round,Uruguay,2,1,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-16,Maracanazo,424bd1c2-8008-429e-ab83-14a3e3270864,2026-07-28T05:03:01.508507,wc_all_matches.csv,CSV,manual__2026-07-28T05:02:53.729063+00:00
