year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,e390b783-4e23-4e3f-8b6e-a76952e384e5,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,8f108056-0bc9-41cc-a8b1-7933c88daa63,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,a08b7ce2-38f2-4394-85b2-6f597ba09bfb,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,531003ef-9422-4db2-b319-4c08d12e82af,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,5de5fe21-c2c9-4319-82ed-5086ff886f95,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,d0706712-b288-4674-ae4c-f30238a480b7,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,abd976f1-f960-473c-97dc-b40943ff7e84,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,b54ebfea-5b98-4142-b473-1859a296232c,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,8600766b-58f3-4870-890a-4abd65f6d6e0,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,24525f61-1b3a-41af-b00e-20bcca6c4244,2026-08-04T15:13:27.465532,wc_all_matches.csv,CSV,2d3566d1-cabc-43d5-a1c3-519cc333b41c
