year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,c78b88c8-1bf2-4d97-9fbe-fbdf65c9e3e7,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,a1995a75-100d-48ea-afcd-20a779254686,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,f30720a0-78af-43ec-8c47-ad306894c9ca,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,bbc002b1-c2c4-4f35-86cc-729cd68db7fc,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,f50c2389-4fbd-48a1-a5fa-4ae079f49499,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,9b163f55-1a00-4129-abf9-13cf20565334,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,47f77683-2105-49e6-bac8-bdb7d61ce620,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,c86969a9-b3f2-44e5-b462-75455d4ec63e,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,fe038dbe-f6e2-438c-b6e4-495ed31a2d78,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,0f10e91f-0891-424d-ba80-ba08a16867dd,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,0d65af83-a3fd-4036-80f9-3d95a6bf59b8,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,01c2f49c-fe32-4b3d-9806-7c9477514aed,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,51592a85-9ded-4930-9471-3063d1b6ec9a,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,6891221a-6df5-4205-8850-0cf681a6deed,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,26d19b3b-afe2-4f9d-b62c-54ed17702680,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,bbf8138f-3772-46a6-9e31-bbd6421f1f64,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,20bb2ad2-b166-4840-af8b-8e24138f1759,2026-08-12T14:05:53.376758,wc_all_matches.csv,CSV,25b2cec1-a2e7-40bd-b723-45f012e1729e
