year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,bdd4bde7-cb6b-4fe8-a625-e6834d4dc092,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,89a174fe-7202-446e-a74b-cdc75d0640f2,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,63e01cb6-3997-4508-8c46-1989f0a22f52,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,efcb7f29-5263-45c3-bca7-36e56992fd36,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,1335e244-4710-44af-bc3c-14db7f4956c8,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,563c744c-25c2-4c90-8627-c79f75373556,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,5db5c446-1302-468e-9e08-e499a50db550,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,2d77976d-3518-4931-9215-191fd48d3f7f,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,1600861a-c910-487d-93ab-49c937535cfb,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,b10cc34b-15f0-43f2-a34b-dbd798a80b8d,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,63121cd7-f4d4-45a4-b070-e7f7a48a9584,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,d9fae716-f09e-4b83-bc62-0e95576249c6,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,5008252f-0af8-455e-80ce-3ef3cc421621,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,1998227f-69b0-4623-9176-98a0f8e53ec8,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,547715a5-a297-4b49-95d4-db5684c1ad35,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,6004ca05-46ac-4a58-a468-68a17e971049,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,0f5ee60d-2b23-46d7-a986-e13b36f8ef81,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,85f0424e-91d2-42ca-9573-8d6341769b3b,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,5275b822-a868-4d32-a591-df743b1fc006,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,4b8cc7b6-9125-4ba5-8d24-d6da974425da,2026-08-12T12:47:12.628012,wc_all_matches.csv,CSV,6863b9ef-51c5-4499-b443-3941b42257c8
