year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,6749f50d-3f97-4ae7-8e1e-0666464fa6b9,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,1096efc4-e110-4812-864b-6855709b9eee,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,80a97bda-a8be-4de2-879f-1312d0f6d5ae,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,f880ac3e-bf45-4931-a3d5-aa3bc9b0a870,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,e106afd0-1852-449a-aa85-c0925745da72,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,45fb809c-2a24-4853-a7f9-6f84e43e7418,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,609866b9-993b-4cad-8221-de6b01423e02,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,2df73ad1-ad38-4599-9be8-d772c650266b,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,41d61f59-af1d-4277-b1a8-73799289f3af,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,6d75d31c-0009-48de-bea7-babf291ffa61,2026-08-12T13:39:34.784973,wc_all_matches.csv,CSV,83fdc4d1-a824-4688-b5ef-13d90fe31a47
