year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,761a4635-4c85-4caf-af66-4b4074b3e252,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,22ebdf3e-78e5-420d-9ad9-0e8a22e49871,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,53eba6f4-5a48-4faf-be4c-443fe899fa9f,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,ebd3e47d-9763-4de4-b376-9ede5762e189,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,e2aa1fe3-5c77-432c-9cd3-3ed12c6a58db,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,9e7328d6-210c-49c9-8e54-0794d15a1655,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,d02eb53f-38d9-46b1-b1fd-a410e74795f4,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,4b99873f-d445-4d36-bcf6-c9ba85427b1d,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,d4c390b6-63a2-41a0-a462-0ae291279e27,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,c021fbef-d28d-4616-bbd3-0c87b69b2bbb,2026-08-12T13:07:36.723235,wc_all_matches.csv,CSV,c69f0345-c71d-4abd-a7b1-70375dda2510
