year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,510c35de-7f78-4d65-8268-fd69bd1ab184,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,5195a49b-802a-4bbd-8f39-9e9896c2a341,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,c598155b-ea87-4b88-9115-2361f2029e8a,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,4dedce51-a0ff-4b4f-a795-e9ea37a498bf,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,e244bb68-7d34-4dd5-9717-eecd5975d2ee,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,6fe37a04-a1b6-4692-8397-8a33077e61c2,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,bec099bb-f9cc-45c2-b08e-16364378809b,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,9e2bb83e-ee21-4e91-8e53-515035ad3782,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,5fbd5f31-b95a-4b99-b768-76b78606d282,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,d18c249e-db74-467b-a586-5e662c2b8492,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,5c9f13b8-f136-43c2-8a48-61d013b7ecc5,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,4266bebe-e80c-4e42-a62b-be63a8d18dc1,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,312fac15-88e2-49ae-afd7-17e8357f32a7,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,7ae042c0-ed4a-471b-9d6e-a44c81c04f6e,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,42d6d217-1ab0-4a16-bbe2-40813911ea1c,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,404f48f1-4a44-428a-9c34-8199b8f4ee12,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,de0fcca7-d60b-4010-8490-f05cda195c1b,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,17543633-bda0-4f16-8c6e-ea1f9a0a8f04,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,65bcf725-be36-47d8-bb48-7c67b950c980,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,39604ab1-a9bb-4637-9b4e-9013592956f5,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,3c68cc57-6c6a-4ddf-b8b4-ba2daaaf398f,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,ba2e6a33-7cbb-4bd9-b627-40c758bf7697,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,nan,61914fcd-5d0f-49ce-b394-75a955e87f31,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,3b21d047-11ef-449c-8db6-6814404889c1,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1950,Final Round,Brazil,7,1,Sweden,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-09,nan,9641ee24-c241-4687-9765-76be28e77101,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
1950,Final Round,Uruguay,3,2,Sweden,Estádio do Maracanã,São Paulo,Brazil,1950-07-09,nan,75c61211-ce26-4034-a1e3-ab4736486e42,2026-08-12T12:39:55.072771,wc_all_matches.csv,CSV,c709ff66-215e-41cc-a4e5-d192b9ca189a
