year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,bba4b9e8-5e00-47d4-aba6-8e70e77b0e48,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,319374ec-f208-444c-9054-bef23b31c165,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,077e17d5-55ed-4a6c-bdae-d807f9c07f57,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,2b4f1c9c-5b24-44ec-abe4-b6ca8e2bddef,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,1e862d11-89ac-4077-ae11-cc6739bb47ff,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,51c7325f-7437-424e-98eb-e521e64fcecf,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,ad2a6f54-0379-4e2a-9422-40da1415a525,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,a544d71b-d9f2-42cb-8337-af759b16ed38,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,feecb462-9944-47c5-bb3c-35bc0ed5ee58,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,2dd89cf7-bf48-44ab-bec7-31ac9178b7df,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,5f4102d9-ff11-4533-9343-5efe309e28e3,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,7f7eddc1-2460-4d2c-b74f-34f4767dc2b8,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,37dd6c42-9284-4db5-9b70-4bf9c0577a96,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,ee434b81-5890-4eb6-8b1a-44b6cda731c3,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,bf5c2cf4-b392-43f0-b547-7d459af40ae4,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,d8674cac-0dab-4e1f-8b5c-50b9bc34ae37,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,Round of 16,Italy,2,1,Norway,Stade de Gerland,Lyon,France,1938-06-05,AET,ef01acab-d9b7-43bf-91e3-6cba4f939107,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,Quarter-final,Brazil,1,1,Czechoslovakia,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay,514613d2-3d7a-4ec2-8f27-e37245796461,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,Semi-final,Italy,2,1,Brazil,Stade de Colombes,Paris,France,1938-06-16,nan,359f1223-ee8e-42ad-9959-ea5995851929,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,Semi-final,Hungary,5,1,Sweden,Stade Olympique,Paris,France,1938-06-16,nan,82780daf-5ff1-4494-9636-a5602c8c997c,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,3rd Place,Brazil,4,2,Sweden,Stade de Bordeaux,Bordeaux,France,1938-06-19,nan,0ac062ca-2b41-4351-9ea6-5fe82314cbdc,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1938,Final,Italy,4,2,Hungary,Stade de Colombes,Paris,France,1938-06-19,nan,b4c408b5-3dd4-4ffe-83ad-a24edc09b343,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1950,Group Stage,Brazil,4,0,Mexico,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,nan,20d17b88-6abf-4a72-9432-7b823584d6bf,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1950,Group Stage,England,0,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever,b07cdb76-aff9-4482-b555-c29f2882215d,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1950,Final Round,Brazil,7,1,Sweden,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-09,nan,76ac9ad5-9fb8-4b34-b669-b9a37d4bfbc8,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
1950,Final Round,Uruguay,3,2,Sweden,Estádio do Maracanã,São Paulo,Brazil,1950-07-09,nan,87aceb37-65b3-453f-993d-f17e222852e0,2026-08-12T12:56:58.283549,wc_all_matches.csv,CSV,ef611b7e-3eaf-4944-b717-a48c1c602341
