year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,a6d5307f-9120-432e-9ab1-44eccaede459,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,7fae2b58-930f-47be-849a-4ad86e8c765f,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,16a571f6-3d51-4589-83ea-9f5e9a35262a,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,d84fca86-e91d-42d7-92c9-6b00bc494cad,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,ce2379d2-dc11-4377-be4d-6d3c625b827c,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,0e2da2bd-c087-4eff-b6ad-7d723b05c2e8,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,621dc740-f85c-4925-8511-56a0f480e51d,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,941d70e1-502b-4a84-9590-fdfe80d3bf19,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,d7c1b3ff-f9e2-433c-9c91-9b9ccb35a903,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,3122b131-39e8-4dc7-a424-967ebb173d53,2026-08-18T12:34:08.438844,wc_all_matches.csv,CSV,a16f1fb9-7fed-404b-b9ab-354715efcf97
