year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,e12ce123-99e7-4332-9a0d-108d0cfeccf6,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,0597d098-59a9-4aae-acfc-e6ebb4161a55,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,4196ecdc-da72-42d3-a500-12a103342ee5,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,28e2c8ad-21e7-4e43-9b3f-54dcdb525b45,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,835323f1-7bdb-4e88-8982-fba40f185331,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,1bc78bd0-4a5a-45dd-9d02-48f297bb4113,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,08af6873-034b-4ca2-b0ff-65cb40dcc796,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,c59d1605-a0ac-4c15-8b62-cdbba92ab297,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,e12988e2-42e8-4b1c-bb42-03d7b0b9d2af,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,998c34bc-a32b-4000-b119-5a04d6bd1fd6,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Quarter-final,Italy,1,1,Spain,PNF Stadium,Florence,Italy,1934-05-31,AET - replay,d6599294-b78f-4603-8444-2c7bf39b77f1,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Semi-final,Italy,1,0,Austria,San Siro,Milan,Italy,1934-06-03,nan,a091ddfc-3cf8-4557-a3a0-4df9dbc3bf41,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Semi-final,Germany,3,1,Sweden,Stadio Bentegodi,Bologna,Italy,1934-06-03,nan,a6ade7d2-49c8-48c7-8d46-cca0eeb2c40a,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,3rd Place,Germany,3,2,Austria,Stadio Bentegodi,Naples,Italy,1934-06-07,nan,e8e4170d-8676-449f-9b0c-5b895acc8c7c,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Final,Italy,2,1,Czechoslovakia,PNF Stadium,Rome,Italy,1934-06-10,AET,005cf748-68cd-424b-ab8f-6c428303985b,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1938,Round of 16,Brazil,6,5,Poland,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!,97f23f7c-81ec-41e8-99a6-7979bed831c6,2026-08-18T15:31:22.889089,wc_all_matches.csv,CSV,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
