year,stage,team1,score1,score2,team2,venue,city,country,date,notes,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Group Stage,France,4,1,Mexico,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match,8aefcfa9-aab7-4677-a17d-4e82086e6ddf,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Group Stage,USA,3,0,Belgium,Estadio Centenario,Montevideo,Uruguay,1930-07-13,nan,6f279b82-5dee-434f-a4d8-00ca2886a460,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Group Stage,Yugoslavia,2,1,Brazil,Estadio Centenario,Montevideo,Uruguay,1930-07-14,nan,22df6778-5f77-4256-ad95-d702089be3b2,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Group Stage,Uruguay,1,0,Peru,Estadio Centenario,Montevideo,Uruguay,1930-07-18,nan,7a5042d9-e090-4c22-a624-caefd1f83f29,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Group Stage,Argentina,6,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,c3eae1f8-ecbd-4183-9282-699e437975c8,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Semi-final,Uruguay,6,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-27,nan,051db4b8-a943-4a03-8700-a4aabadd00f2,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Semi-final,Argentina,6,1,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-26,nan,34a3eaf9-8819-43e2-a872-9a24e6657439,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1930,Final,Uruguay,4,2,Argentina,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final,3c9a0876-9f6c-4cb8-aff0-0584c2dd1a7f,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1934,Round of 16,Italy,7,1,USA,PNF Stadium,Rome,Italy,1934-05-27,nan,e142123a-9af5-46ca-87a1-bfd7defd8b48,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
1934,Round of 16,Germany,5,2,Belgium,PNF Stadium,Florence,Italy,1934-05-27,nan,fb7adea5-22bb-4bd6-a2f2-fb1d29770c5c,2026-08-18T12:29:07.612570,wc_all_matches.csv,CSV,ebe3b807-d2d8-40c0-b202-60f947e7efea
