team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,46d7a4b2-9090-491c-920f-8f5c68070e02,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,9f10826d-ca0d-4de4-bab1-1c113d0969b5,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,357eae4c-3134-4611-b5ef-9bb1ba67c410,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,dc4d1b49-5a56-4310-8293-d99f0f5d6a6d,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,483ae80c-8536-4189-81ac-38aac408679e,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,e9bfbd06-2c78-45fb-bbce-f9dba6285384,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,987c5265-8570-49fc-8239-e6752eb11f2d,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,b861e3ea-5359-451a-8ab4-3f0e52d582a8,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,0855bd20-1489-4730-b387-81eda1d807c2,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,46861ac1-a647-40bd-9738-1ee6d556220b,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,efe4c4ff-deb1-4859-80f3-1a10b7dc79fa,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,c3de6c55-54c0-463a-aaba-cb9d2647b12d,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,9efa2d77-ab8c-4245-9cdf-12067de4082c,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No,ee90be92-9ef8-4352-97ec-d390a6a83f58,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No,ac8fc19b-ce37-4d64-a4b6-83ca6eb40131,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),No,0416a446-0b7e-4633-8231-61e081e05aa4,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
Germany,E,UEFA,10,Jurgen Klopp,"Winners (1954,1974,1990,2014)",No,a2ba57d3-74e0-41dd-9f1f-98fb5693e594,2026-07-15T20:12:13.912579,wc_2026_teams.json,JSON,2bc1bf4d-17e0-449a-baa7-421833726f29
