team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,82212166-d001-44ac-94b1-63c3458e99ba,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,5e5b0e25-a45a-4f26-af87-aed9fd1cb304,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,10b3c066-575e-4961-a4d0-3edf647010bd,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,46289cdd-f3bf-49a7-87ee-90d7c2788578,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,1d00a5f4-a94a-4c8e-a048-54d7aa4980b5,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,e74ca6d6-2cc0-47cf-a2ba-f073a5cff878,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,4754116e-28f9-4bf4-9bb8-ce2369626d91,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,3c62d1f5-98f0-400e-8ade-e4234c3c53f4,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,a776e08d-8c0e-4979-a44c-455e734168b2,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,74872df8-c043-4e4c-a076-11e17d666705,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,4b17d8f8-1f78-4289-a507-8165d9a707d5,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,0912a864-b527-4792-95f3-207daad6cc10,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,401f831d-5b66-4c2d-8b14-22194f29672d,2026-07-15T20:10:31.441773,wc_2026_teams.json,JSON,2d1aee6b-dfeb-415b-9968-aba30c977e75
