team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,a3a372cb-5f5e-4caa-911a-9c9dd1098565,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,4fae4b3a-2403-47c2-8acf-4530f991bfe6,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,2a9ee355-61d4-4590-9284-1ebd15927de9,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,4227fc4d-2c43-4908-847b-199fb0ebbc13,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,c3162305-25f1-4892-9988-ceb32f37df5d,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,3d617821-a28c-41a1-b248-341830c26556,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,1ec564ab-b69a-4859-bb52-4c04d31ba0a7,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,5eaae407-ee6f-4dde-be65-40e32bd4c022,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,2f8f981b-1c0d-4291-8513-7f414df65428,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,65406c3e-e3a5-427d-9fdb-d220eb03f57f,2026-07-15T20:13:06.990816,wc_2026_teams.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
