team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,27b617d2-ef41-4e82-a4c4-9c7d6d19fc6a,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,d73bb62b-2e1d-4af1-9ca3-c59386c9859d,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,d559951e-c720-4387-b55c-5c7fb9ce529d,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,e8ff4af7-e254-45b8-9e61-c10b7047cecb,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,c8965302-dda3-41f3-9f80-2ffa7bfb9f19,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,63a184b6-f8b4-42ec-8a9e-de9efc38a4e4,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,a24a1fb4-5e27-4b55-b6a8-e1b7e9bda8be,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,21233ef9-eb99-4724-91d8-4e46dbcb4d50,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,407aeab3-6fc1-474a-a196-08c1077b508e,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,772c02ef-e17d-4317-b0d3-77423f0aae2f,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,b1f2fb17-17e9-40f3-8a76-1339f6e3c709,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,134e3ff9-dc45-4d16-9bb0-1a3c01a64f2e,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,b3a0964f-ce22-4ca9-86ca-38b5cb05b743,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No,b3200699-1bf8-4fa0-9442-2c0396bcfed0,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No,dcbfd78d-830a-4858-b49a-a4fbe42a0035,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),No,8eb0c2c4-ac9f-4084-900d-2ab0b36ac9d5,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Germany,E,UEFA,10,Jurgen Klopp,"Winners (1954,1974,1990,2014)",No,e775738a-abf7-4cab-8d00-45f7799eabe5,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Curaçao,E,CONCACAF,81,Dick Advocaat,First appearance,Yes,5aa29979-7b3e-416c-9493-803404cfe13a,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Ivory Coast,E,CAF,33,Emerse Faé,"Group stage (2006,2010,2014)",No,1afd47ee-5cc7-4224-a2d8-ab892b7b002f,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Ecuador,E,CONMEBOL,24,Sebastián Beccacece,Round of 16 (2006),No,3b75a64e-420c-4d32-b093-73aba4025fbe,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Netherlands,F,UEFA,7,Ronald Koeman,"Runner-up (1974,1978,2010)",No,5ccb8a8d-a9af-4125-9eb3-73cc4f688656,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Japan,F,AFC,18,Hajime Moriyasu,"Round of 16 (2002,2010,2018,2022)",No,43d4c3ee-4460-4ed4-adec-480d3f2d8129,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Sweden,F,UEFA,39,Jon Dahl Tomasson,Runner-up (1958),No,574028f4-0b96-46df-86c9-9bbfb6ce7e29,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Tunisia,F,CAF,40,Faouzi Benzarti,Group stage (6 apps),No,c694e222-fa9f-4677-a990-f15ef17d136e,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Belgium,G,UEFA,9,Domenico Tedesco,Semi-finals (2018),No,f710ca58-c85b-49f0-ac54-007524271bf4,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
Egypt,G,CAF,29,Hossam El-Badry,Round of 16 (1934),No,f61f2475-f171-47ae-9ba0-0b17550581ac,2026-07-15T20:14:39.487933,wc_2026_teams.json,JSON,b97edeeb-cc73-4418-bed7-e4f144505a5b
