team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,5fefcd4d-06b8-4d1d-8d4a-f1a085c4b574,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,4779b778-cafd-4854-b370-8ecc5469d464,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,b17889c8-0779-43c6-9ebf-91c4ff08c113,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,2227c876-47c0-4fae-80e4-1850b5043551,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,155a97bd-333d-46da-b3fe-01ae96033d7c,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,24b48992-8527-412c-82b5-c74855faec99,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,eaba9f4c-fb42-4c34-954a-c78bd2c08c3f,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,b6aaaa44-7e91-4258-a232-4c0d4913dfa1,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,ea858041-f5b3-4d17-b99f-2bb69d34562d,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,4ec4aeb1-0e2f-4e69-a3d2-d08baf485421,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,4a3e3c05-e6e2-4752-809d-dbbdf0b89fab,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,1e935132-0b4b-45e2-b7d9-703d3b565787,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,1e7878f6-5b35-4ca6-89f6-c1b538abf0df,2026-07-18T10:35:38.285873,wc_2026_teams.json,JSON,886823dd-b6e9-4be1-a114-b8a6a48d5a5e
