team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,8dc76b6f-5622-405d-ba80-300d494e3725,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,800686a3-e095-4018-b4c5-0facbd0f08eb,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,a1128c02-1fe9-4397-9cbb-bdcdc5887111,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,1d2a6b6b-3c1d-45f8-bc81-dd7bcaf01b15,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,60399bd3-cc27-4a66-b69d-1d56f330917b,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,bc4f5bd3-196b-4be2-b00c-b67feb9917c2,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,ffc01f16-cfd5-42d6-9f5d-a99c9ecc935d,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,49fbc3e0-4ea6-4e95-b201-445de39a1db4,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,42734029-69ed-4d63-9b4c-a47d4d672d08,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,b0572461-400f-436e-9e0e-990841789083,2026-07-18T10:34:02.377331,wc_2026_teams.json,JSON,8a8f68d0-e75c-49df-b397-b290425459a3
