team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,ff1a3cd9-31b2-4773-8a78-7b93cf3bdc1f,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,6ad409ed-dbb5-475e-8053-54655aa801cb,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,1f1c8d9a-3221-4ffe-b4b4-4f14e6d4ac28,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,fe382387-8930-4394-9ec3-34a35267b3f1,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,bcf7b3f1-9f6c-4863-81fd-4a1c6526b863,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,002eab6b-47f4-458f-a79d-9ecdaf331a17,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,af561127-0a07-41a3-84a9-8a75b37f14fb,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,694e5d12-f9e3-47a2-a79c-c6f0f05e8046,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,4178aabb-4997-4bc4-9313-87707ce0b72d,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,2145dbe5-a815-4179-9823-b723ffce0bf6,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,39942bb0-57d9-4744-84b7-a16db114e71c,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,cf80f6de-edee-4d6e-9edf-79b613d9244f,2026-07-21T14:40:43.774532,wc_2026_teams.json,JSON,28b06e72-2989-4cb8-aeb1-1b9b1708057b
