team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,5fd25f5a-b043-40f4-bac4-a4d890619588,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,7fc80126-dfdf-4a4f-ae5c-ef65bda1eaa3,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,5733fdb4-9f53-4307-a13e-194c690b0801,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,33168f37-0fe7-4b81-bedc-00ed27155157,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,01cab720-fd04-4164-9fc9-205dce75697e,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,df2bd1cf-6a55-4c9c-a20a-4a30a4d94600,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,c7605bad-7257-4583-88d7-2b0ade1d6366,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,4adb9bce-6fc7-4b22-9643-bb2054235abc,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,1aecfd23-74fa-4eef-a091-b85e07de26a9,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,8ad424a1-208b-48f4-9b62-597b7bcb2c4f,2026-07-21T14:38:39.947045,wc_2026_teams.json,JSON,dce1a3d3-536f-420c-8fb5-d3d4a7eca3cd
