team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,f0abf2b4-0aba-443d-81d0-03e51be6728a,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,717e549a-d97a-416b-9aa1-9b6fb7cdb6ad,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,8ca8cd30-da34-45fe-9f90-76d8fdef3368,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,d54fbac6-469a-40b0-8c05-1b9ec133039f,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,a4708c9b-7a02-4d4b-a5c3-c7a21c4e9b83,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,9a3a37fd-a6ae-446c-bf73-f1831ebdbed4,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,b90dd667-0c5e-4793-b7a7-ac6c3ecec84b,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,5a6d663f-d56c-4471-a072-82466ce41a7e,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,5855638d-65ab-45d7-b407-1f7988ce8369,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,4ea77b33-9c86-47a0-a75a-8c7dfcca44af,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,a8abf858-8d5a-4e66-b317-b54ef138f43f,2026-08-04T15:13:19.060320,wc_2026_teams.json,JSON,2d3566d1-cabc-43d5-a1c3-519cc333b41c
