team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,14ad3c58-3852-411f-af13-20b669c8601a,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,3b579a80-dc16-4f42-afaf-1cb84828fb95,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,d206e661-f240-4775-8925-b0c63e35b08e,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,6f8752ea-9d1d-465c-bc6f-bdf591f91fb5,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,aaf5296b-d8ec-41f3-b352-a6a5072abdc1,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,d7c0ea58-4cb7-4b72-9347-1bd28d35a71d,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,fdf231a7-1e4f-446b-b254-5afd786f63b6,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,18d3eb01-8c25-4dc7-9109-778ff38b50c4,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,2a6d66b1-820b-45aa-90e2-000bfe4b26ba,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,0c4c25ee-f9d8-437b-9126-82873d987393,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,602c7ebd-a29e-4231-a0c3-c5c5a87d85c0,2026-08-04T15:06:23.384136,wc_2026_teams.json,JSON,520c8291-5e3d-4b1d-88b1-8e274994b09b
