team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,3ab282a1-6021-4091-8589-52997e91a30c,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,8fc51c6a-f7a4-44f3-af9b-c53909574c3d,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,6603f9ce-85fc-49aa-b19f-c77b75997a5e,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,f9ae3289-6d21-4a81-ac1c-855cb9fef2b0,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,06939dfc-533d-4ceb-8f13-b3dd62d48280,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,a2876637-47d8-457a-9376-79ba35bd0e27,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,28497b4e-c14a-4b60-a10c-c5f5abe2d8c2,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,033e57c0-7d26-4ec5-86dc-c0428dba970c,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,cfce8408-988e-474f-a1dd-44c18db502f2,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,865e3c47-e74e-40a2-a578-9d2217a30746,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,d7de7de0-a29e-4743-bedd-23668ffe7fd9,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,64aa3fa4-9f36-40ce-b7b5-016c2c453a37,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,9aa86c5d-7a10-4b33-a490-c5ab9dd2f7f2,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No,d0e5d0ea-683c-41cc-9d1c-58bfe908f6c1,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No,1521089d-ecda-481d-88b2-0bd4da5e657b,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),No,753e001e-a5de-4784-96c7-513f5d0a2846,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Germany,E,UEFA,10,Jurgen Klopp,"Winners (1954,1974,1990,2014)",No,3ba96ba3-b1d3-4438-af33-40fd1eea7e12,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Curaçao,E,CONCACAF,81,Dick Advocaat,First appearance,Yes,d8424d86-35ee-499c-81b0-d05dca5e9583,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Ivory Coast,E,CAF,33,Emerse Faé,"Group stage (2006,2010,2014)",No,3aea64c3-b716-42a0-8908-b26333854c27,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Ecuador,E,CONMEBOL,24,Sebastián Beccacece,Round of 16 (2006),No,674cc226-c9a9-4efc-bbe6-7394317b0d53,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
Netherlands,F,UEFA,7,Ronald Koeman,"Runner-up (1974,1978,2010)",No,26297909-83cc-4fcf-885d-32658ae42121,2026-08-12T12:47:04.018998,wc_2026_teams.json,JSON,6863b9ef-51c5-4499-b443-3941b42257c8
