team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,de628bfa-2173-4120-8442-46e48fcd7389,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,6e7ae16e-66b2-49fb-9347-2d6cfafb3a36,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,a1d05847-0bab-4b7a-b1dc-c3075bddf055,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,e104e12d-9a91-4486-907d-3798d272c6ef,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,de7e5938-6ef8-43fc-95d6-215e28b86c4a,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,60614dec-cef3-432e-b863-eeb5adcc97a6,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,59a4be14-4f5f-468c-8206-24966bc57cb8,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,13cff4bc-17fa-42d6-a8dc-f25aa5f4cd79,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,e3ccb769-0ddf-4476-8b24-147e60ec1c9c,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,659b52a1-4415-4da9-84be-294d036a0a06,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,97c22144-cacd-47c9-b4ee-8a69a7f6ba37,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,d1bb63da-05c7-49b4-8a47-310564068c94,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,87ca4496-bfb0-4ebb-8952-fe5cae3509e7,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No,64764e41-29be-4b8f-b21e-233940b672a2,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No,4584123e-4ba0-4278-97ee-2d9ab7a628ee,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),No,cc757aa6-de1e-44da-a662-4ad0e4a737f7,2026-08-12T13:39:24.886961,wc_2026_teams.json,JSON,83fdc4d1-a824-4688-b5ef-13d90fe31a47
