team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,df4ebf3d-1ef6-46c5-8991-c4c82e6f4b24,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,94e34ee6-e3ee-4928-9e7e-0704d95adfa0,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,e5c4da20-6997-4d22-8268-19707d652e09,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,277ff95c-acc3-44bf-b7aa-621d00bd7bd5,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,940f7a18-3f16-479e-b925-7690e0da8e48,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,6a005e28-1d0a-412a-971a-7373e506dcc8,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,a1844764-73b0-4281-85f4-7e84d3234865,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,8900423d-992a-4ea8-9f25-c7cf54e208b2,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,960900b6-b092-4784-b4b8-f5770982f889,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,db72938f-1615-43a4-b3d7-432d39c809b8,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,22665a3a-8cf0-4c5e-bf71-fef577c4e8d6,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,07539b02-2349-4f45-a63b-ca5482774ad4,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,48cb8048-ed8e-4184-9dfc-fc944bf7cbee,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No,e6673639-8046-44e6-9025-2c9d5acfd99d,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No,6f876316-36b7-4736-aa74-926749e3884e,2026-08-12T13:06:54.362281,wc_2026_teams.json,JSON,ce2946bc-c7e7-4424-8fab-eaefa764f9a5
