team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,0c60a9d5-c908-4412-ad19-6ca869b50eb7,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,ef6865df-fa74-4d97-bc60-1614a6f190a9,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,d1477c45-a03d-4462-9be5-773544ba2f96,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,b5b0e930-736c-4543-9073-f3c3619eb8b0,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,f99b7c71-86dc-4c60-a734-e28ebad178f1,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,7c089d48-9925-4473-b7ef-ec7521986e96,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,ef758949-c26c-492f-8588-388f58a4dca2,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,ebe2f991-2f05-4495-9304-c7a0380d24e7,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,bc19b7ac-aa52-4338-865e-28de3ee5d408,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,9720b3ad-ccec-4bda-b126-c77ce2e21c4c,2026-08-12T12:55:57.507614,wc_2026_teams.json,JSON,d7beaccf-3c6e-472c-bc08-25c5df2a9eca
