team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,d0305bf6-54c8-44ad-ae83-4497f20088fa,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,01687370-6dc1-4b7d-8ff4-6cc8a952789f,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,17b8d206-f5a9-4f86-a186-400ce9abf854,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,b842d8c1-0904-4133-8c4f-3c561b7ac247,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,53abf949-76e9-4a32-9a86-bd24f921c249,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,4c3d5b45-e68a-4bdf-a9f0-4ac6e396047e,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,cadf2c26-278f-41df-8376-baa065bebb7a,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,b1eb8fba-9ede-4245-8da5-61b9c6d054b8,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Brazil,C,CONMEBOL,3,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,e20cb22e-3877-47ca-8b91-14e793cfdacf,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,43e4cb8b-5799-4475-b6e8-1ec1017790fe,2026-08-14T11:38:29.327665,wc_2026_teams.json,JSON,aa010f75-72ca-4ddd-beea-f5acf84cf033
