team,group,confederation,fifa_rank,coach,best_wc_result,debut_2026,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",No,b8625e6c-444d-4496-b596-3c19ad1cbdd5,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",No,2d27956c-951d-4b5b-a556-684ac29ca960,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),No,c2f173bd-ae85-4dd1-accf-40be8bdb52e6,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",No,700f1d67-261b-415a-b1d4-c19396337080,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",No,aec8aa75-43fb-4383-b807-7bf4bdaa641c,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",No,99d5e018-8cb6-466e-a6a7-d0edb4247bc4,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),No,4135334f-4bfb-44e9-bd8c-bee854772e81,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),No,723c81a4-d25d-4a0c-b74e-a5062fedf066,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Brazil,C,CONMEBOL,6,Dorival Júnior,"Winners (1958,1962,1970,1994,2002)",No,04ce25bf-965a-44a5-9e04-6d68a300aeaf,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),No,30c120ee-3d7f-4fd3-8bd0-842a2a143c58,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),No,13eb9140-bac0-409c-9bec-9767ad394d4b,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),No,b3c7192f-1954-4dbd-9568-8837c2aa1b4e,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),No,01869fd2-0b98-44d4-83a7-3491e25f1818,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),No,b1abef98-3b3d-4aa6-85a7-5e5fa3508f99,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",No,56e07624-7040-465e-b9bb-87230443102d,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),No,5480185c-0293-439c-8624-245003d01a40,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Germany,E,UEFA,10,Julian Nagelsmann,"Winners (1954,1974,1990,2014)",No,ea006c39-a476-4b91-a461-37f5b683f22a,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Curaçao,E,CONCACAF,81,Dick Advocaat,First appearance,Yes,1f35f433-a735-4bab-baf1-237fcaac2453,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Ivory Coast,E,CAF,33,Emerse Faé,"Group stage (2006,2010,2014)",No,2ff32d00-cd46-48b2-ab63-cce327167dcb,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Ecuador,E,CONMEBOL,24,Sebastián Beccacece,Round of 16 (2006),No,c034ab07-0390-4ca1-b907-19cd4252d258,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Netherlands,F,UEFA,7,Ronald Koeman,"Runner-up (1974,1978,2010)",No,b0c7af35-1fcd-4785-a18b-bf703c4f093c,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
Japan,F,AFC,18,Hajime Moriyasu,"Round of 16 (2002,2010,2018,2022)",No,72852b61-b7b6-4437-943a-2b1b83c805e8,2026-08-18T15:31:13.944689,wc_2026_teams.json,JSON,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
