edition,year,player,country,position,goals,assists,penalties,matches_played,host,team_result,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Guillermo Stábile,Argentina,FW,8,0,0,4,Uruguay,Champions,19efa359-d8d9-4fda-84a6-b506ab831ed5,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
2,1934,Oldřich Nejedlý,Czechoslovakia,FW,5,0,0,4,Italy,Semi-final,2d4326b1-e421-45bf-9324-ff52df1ac06c,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
3,1938,Leônidas,Brazil,FW,7,0,0,5,France,Third place,b879b7d1-e881-41ec-bf19-68116ec080c0,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
4,1950,Ademir,Brazil,FW,8,0,0,6,Brazil,Runner-up,c4f43ff9-54cc-47f5-88c3-8190400d70d9,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
5,1954,Sándor Kocsis,Hungary,FW,11,0,0,5,Switzerland,Runner-up,1f17dc71-824c-44b9-b097-f968d5ae752b,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
6,1958,Just Fontaine,France,FW,13,0,0,6,Sweden,Third place,09b4c545-e762-4c34-a96a-1c30c9956e62,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
7,1962,Multiple Winners,Multiple,FW,4,0,0,6,Chile,Varies,d746e595-f47b-48b5-83e1-8e3028c9bdab,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
8,1966,Eusébio,Portugal,FW,9,0,0,6,England,Third place,c98d4551-0e7f-4df0-a4b3-b3107153f63c,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
9,1970,Gerd Müller,West Germany,FW,10,0,0,6,Mexico,Third place,b1570d2c-85b9-4786-b347-3956b9f7f9ab,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
10,1974,Grzegorz Lato,Poland,FW,7,0,0,7,West Germany,Third place,74e0e95c-5a72-4563-bacc-f6744016a674,2026-07-15T20:13:24.917752,wc_top_scorers.json,JSON,aa48ac55-04a5-435e-afb2-3c15bbdfb4fc
