edition,year,player,country,position,goals,assists,penalties,matches_played,host,team_result,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Guillermo Stábile,Argentina,FW,8,0,0,4,Uruguay,Champions,55c08301-e9c6-4d9e-a994-5655d033351f,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
2,1934,Oldřich Nejedlý,Czechoslovakia,FW,5,0,0,4,Italy,Semi-final,421667d2-fc5f-49fe-9ff2-c28d995da834,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
3,1938,Leônidas,Brazil,FW,7,0,0,5,France,Third place,c87310ce-0147-4df1-91a7-6b1d3371a382,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
4,1950,Ademir,Brazil,FW,8,0,0,6,Brazil,Runner-up,44349c13-6b56-4af6-803f-9bd5ca4e2b20,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
5,1954,Sándor Kocsis,Hungary,FW,11,0,0,5,Switzerland,Runner-up,09cfbbcb-2db4-42d1-846e-c5c4282811ff,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
6,1958,Just Fontaine,France,FW,13,0,0,6,Sweden,Third place,2015dd7e-d30d-4e7f-9506-1774305c51c4,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
7,1962,Multiple Winners,Multiple,FW,4,0,0,6,Chile,Varies,5944d90d-3229-46ad-ba69-9ab37bb9c483,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
8,1966,Eusébio,Portugal,FW,9,0,0,6,England,Third place,6a7c7253-1bee-4d44-a119-cff5da3a7a18,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
9,1970,Gerd Müller,West Germany,FW,10,0,0,6,Mexico,Third place,2e18ee98-204e-42ed-bdae-5e0372877ed4,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
10,1974,Grzegorz Lato,Poland,FW,7,0,0,7,West Germany,Third place,29452f58-2fe9-4194-b528-a858020c124c,2026-07-26T12:10:09.489408,wc_top_scorers.json,JSON,6d772cd9-2e7a-4fc2-989c-5fcf8ab26b1b
