edition,year,player,country,position,goals,assists,penalties,matches_played,host,team_result,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1,1930,Guillermo Stábile,Argentina,FW,8,0,0,4,Uruguay,Champions,eb4390a8-d23e-4526-8a56-dc4d09c21aeb,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
2,1934,Oldřich Nejedlý,Czechoslovakia,FW,5,0,0,4,Italy,Semi-final,14d79391-99c1-4255-85ff-8a090f2daf24,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
3,1938,Leônidas,Brazil,FW,7,0,0,5,France,Third place,c4aa6c51-07b7-4083-8404-a08f28086109,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
4,1950,Ademir,Brazil,FW,8,0,0,6,Brazil,Runner-up,5e356fc5-738e-4116-9fd2-b7efe53da570,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
5,1954,Sándor Kocsis,Hungary,FW,11,0,0,5,Switzerland,Runner-up,1ce40a2e-c088-45fe-b022-3b7624aca91a,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
6,1958,Just Fontaine,France,FW,13,0,0,6,Sweden,Third place,9ac584dd-22ad-498e-bcb7-ead1ecb87b7d,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
7,1962,Multiple Winners,Multiple,FW,4,0,0,6,Chile,Varies,895272c0-07fd-467b-8032-589834ee473e,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
8,1966,Eusébio,Portugal,FW,9,0,0,6,England,Third place,391f2e58-1422-4526-80f8-8e1e9b38501d,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
9,1970,Gerd Müller,West Germany,FW,10,0,0,6,Mexico,Third place,a092068d-3e50-49c7-9b17-33ce6d51c388,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
10,1974,Grzegorz Lato,Poland,FW,7,0,0,7,West Germany,Third place,181cc1ab-eb8a-4945-923a-c35d3435815c,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
11,1978,Mario Kempes,Argentina,FW,6,0,0,7,Argentina,Champions,2691939b-8b65-44b5-98f1-a1b7b688ddf7,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
12,1982,Paolo Rossi,Italy,FW,6,0,0,7,Spain,Champions,c9a7cd86-d72e-4fa2-91fe-76b62dd6392b,2026-08-14T11:39:32.065697,wc_top_scorers.json,JSON,920a11d2-427d-4b6a-b1df-29a230886098
