year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Uruguay,golden_ball,José Nasazzi,Uruguay,a078ed97-397c-4f1a-81e6-ef0fd426ab7f,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1934,Italy,golden_ball,Giuseppe Meazza,Italy,6a76a50b-24fc-4ed8-b498-0f65b69902bc,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1938,France,golden_ball,Leônidas,Brazil,1eb7cc0e-fa6c-4799-918a-9f1f1b7d8e97,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1950,Brazil,golden_ball,Zizinho,Brazil,270c1d4e-4f10-4b06-bdbf-b91c7131c138,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1954,Switzerland,golden_ball,Ferenc Puskás,Hungary,908db7ac-589e-4687-8502-e6b8ef5822fb,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1958,Sweden,golden_ball,Didi,Brazil,ba1dd58a-c714-4ef6-8b5d-8e0151130c52,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1962,Chile,golden_ball,Garrincha,Brazil,38865350-e46f-451e-b704-bafd80afb1f5,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1966,England,golden_ball,Bobby Charlton,England,513eed43-4790-4cc8-80d3-d7120a8d2d79,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1970,Mexico,golden_ball,Pelé,Brazil,66affc19-38c6-4f0a-8d01-dd9f4771a263,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1974,West Germany,golden_ball,Johan Cruyff,Netherlands,b4b69a68-6c3e-4bed-96f0-421d34a6f0cb,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1978,Argentina,golden_ball,Mario Kempes,Argentina,587285d7-a736-4c46-b628-17c407b666e8,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1982,Spain,golden_ball,Paolo Rossi,Italy,791abfdf-9a81-4d23-80fc-17586a71982c,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
1986,Mexico,golden_ball,Diego Maradona,Argentina,140ae40c-8faa-486c-8990-ee1357096a1a,2026-08-14T11:39:37.605553,world_cup_awards.xml,XML_WC_AWARDS,920a11d2-427d-4b6a-b1df-29a230886098
