year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Uruguay,golden_ball,José Nasazzi,Uruguay,a6b41a18-6a1d-47c1-bc68-df924b23be2b,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1934,Italy,golden_ball,Giuseppe Meazza,Italy,7c396171-c57b-4f3f-a3d2-7d87b280c0eb,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1938,France,golden_ball,Leônidas,Brazil,6fa6415e-c29f-4724-9fc6-84d98f0cdffa,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1950,Brazil,golden_ball,Zizinho,Brazil,a7029e76-316c-4254-80fc-6a9723827a75,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1954,Switzerland,golden_ball,Ferenc Puskás,Hungary,6a85009c-cbfa-44e7-89ef-9bf53593add7,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1958,Sweden,golden_ball,Didi,Brazil,b9161427-fd7d-4d94-8d39-bf6a1778bc5f,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1962,Chile,golden_ball,Garrincha,Brazil,e0c6fbe6-856c-4322-9f46-e156375df099,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1966,England,golden_ball,Bobby Charlton,England,c291a19f-ffbf-4ce0-8b3c-3fba894139fc,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1970,Mexico,golden_ball,Pelé,Brazil,5394cef5-9175-4dca-82cb-16b047bcf868,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
1974,West Germany,golden_ball,Johan Cruyff,Netherlands,5a125291-1c92-4db8-820b-453bba23a19b,2026-08-14T11:38:46.448611,world_cup_awards.xml,XML_WC_AWARDS,aa010f75-72ca-4ddd-beea-f5acf84cf033
