year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Uruguay,golden_ball,José Nasazzi,Uruguay,2a33f9ea-6dfa-417b-98c7-750d4086c468,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1934,Italy,golden_ball,Giuseppe Meazza,Italy,3bc7e72e-6de4-4885-bfd1-a2f4873ea032,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1938,France,golden_ball,Leônidas,Brazil,f73cf803-d62e-4de4-8681-fa0ef9a7ed4b,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1950,Brazil,golden_ball,Zizinho,Brazil,be6ba399-52cf-48d2-a025-241864931495,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1954,Switzerland,golden_ball,Ferenc Puskás,Hungary,9bceda05-7730-426f-8b40-2e5ba4dca3e4,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1958,Sweden,golden_ball,Didi,Brazil,f89f556c-f419-4c25-8dc3-2d8017afe906,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1962,Chile,golden_ball,Garrincha,Brazil,95585bdf-cb64-4b5d-95da-a2204e38b1da,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1966,England,golden_ball,Bobby Charlton,England,daaaf481-5e8e-45e8-82f0-b3c65c540402,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1970,Mexico,golden_ball,Pelé,Brazil,2952dfe7-3b0d-424f-9509-c738b23e913d,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1974,West Germany,golden_ball,Johan Cruyff,Netherlands,ce8381f3-ded8-4aa4-a301-129824904a24,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1978,Argentina,golden_ball,Mario Kempes,Argentina,4265a697-fd41-4a64-9353-f6ed680f06d3,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1982,Spain,golden_ball,Paolo Rossi,Italy,60ccd2c0-2db2-4902-af98-58089b567fb2,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1986,Mexico,golden_ball,Diego Maradona,Argentina,4c2dc414-8683-4226-adb3-a1257b6425b7,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
1990,Italy,golden_ball,Salvatore Schillaci,Italy,4079860d-0311-439d-b593-70ed1ce9341f,2026-08-16T07:42:33.161095,world_cup_awards.xml,XML_WC_AWARDS,manual__2026-08-16T07:42:22.266543+00:00
