year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Uruguay,golden_ball,José Nasazzi,Uruguay,8c6cdd73-41b7-49a0-bec2-3a01694c2c5c,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1934,Italy,golden_ball,Giuseppe Meazza,Italy,76c144e4-66c1-4a3b-b0e5-ab7713ab26c1,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1938,France,golden_ball,Leônidas,Brazil,e4fee212-44c6-4891-abb8-fdd0923519f7,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1950,Brazil,golden_ball,Zizinho,Brazil,d019606d-c53b-4582-b568-1e5c8733c61f,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1954,Switzerland,golden_ball,Ferenc Puskás,Hungary,b94ee099-5ff0-4aaa-96bf-c69b0810f43a,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1958,Sweden,golden_ball,Didi,Brazil,0e4802e0-00e8-4299-82d1-8c00ba5cf01a,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1962,Chile,golden_ball,Garrincha,Brazil,400fada9-7d54-4a61-a29b-5ed4ae8319b0,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1966,England,golden_ball,Bobby Charlton,England,0a3d604d-cb43-4c5c-9976-289d2c1d55ff,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1970,Mexico,golden_ball,Pelé,Brazil,2f1d1662-d8d1-4b06-b00c-4ed8bd906f55,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1974,West Germany,golden_ball,Johan Cruyff,Netherlands,2bc7011c-5cfe-4813-866f-d2729dbb4564,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1978,Argentina,golden_ball,Mario Kempes,Argentina,8b4b4d06-4b24-4dac-a2f2-3f74e6924911,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1982,Spain,golden_ball,Paolo Rossi,Italy,4e206162-92ad-4bf8-b5ee-761f5e22d76b,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1986,Mexico,golden_ball,Diego Maradona,Argentina,9fc066ce-ad74-4585-ba11-60ba703a3183,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
1990,Italy,golden_ball,Salvatore Schillaci,Italy,5f71913e-ab70-4c34-bf54-8aff141992cc,2026-08-18T12:34:16.900948,world_cup_awards.xml,XML_WC_AWARDS,a16f1fb9-7fed-404b-b9ab-354715efcf97
