year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Uruguay,golden_ball,José Nasazzi,Uruguay,4fd99657-ec2d-4af4-95cc-54fe5aba1e69,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1934,Italy,golden_ball,Giuseppe Meazza,Italy,c3e24c46-3c2f-4ec0-9c3e-12a4e69f71e0,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1938,France,golden_ball,Leônidas,Brazil,97d0dabb-2db9-493d-b42c-e73d8492cbc6,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1950,Brazil,golden_ball,Zizinho,Brazil,07284049-8c46-40cb-b3d9-3bc93afac65c,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1954,Switzerland,golden_ball,Ferenc Puskás,Hungary,2d53b6b9-3330-418f-a5b0-752026eb4783,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1958,Sweden,golden_ball,Didi,Brazil,73652abe-e44c-4ba3-90fe-30e1d11abd42,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1962,Chile,golden_ball,Garrincha,Brazil,bc19b97e-fe67-4b14-9352-5376635baaf2,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1966,England,golden_ball,Bobby Charlton,England,c3fa7a91-68d5-42ba-925b-60b65c3a2c49,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1970,Mexico,golden_ball,Pelé,Brazil,7b885e1e-9200-4a85-abd1-d6a9f8be18ab,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1974,West Germany,golden_ball,Johan Cruyff,Netherlands,1f47d7a4-3219-42e2-a6c8-b8c7b1791461,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1978,Argentina,golden_ball,Mario Kempes,Argentina,ad28e4d0-0462-4bee-90e4-df7e7780bd24,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
1982,Spain,golden_ball,Paolo Rossi,Italy,c11f372b-f14c-4e82-82b1-6ea0fd7e994c,2026-08-18T15:31:31.725149,world_cup_awards.xml,XML_WC_AWARDS,de4e5ea5-edb1-4906-9eef-ab8c8e9d8353
