year,host,award_type,winner,country,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
1930,Uruguay,golden_ball,José Nasazzi,Uruguay,75647c4a-a9cc-464a-921a-0ee9bac7903c,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1934,Italy,golden_ball,Giuseppe Meazza,Italy,ebee559f-4730-42f8-87ee-c763f2e50f61,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1938,France,golden_ball,Leônidas,Brazil,af004f34-dc18-4850-a047-aa55eddad5a7,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1950,Brazil,golden_ball,Zizinho,Brazil,499530a0-df53-4115-ac20-0261a148f7ba,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1954,Switzerland,golden_ball,Ferenc Puskás,Hungary,f2af97fe-abe0-4ed6-9bc6-ee892af67818,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1958,Sweden,golden_ball,Didi,Brazil,65570df7-9d79-446c-a0ef-e2ac87ecb083,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1962,Chile,golden_ball,Garrincha,Brazil,1cf153bb-48ad-4510-bf35-d5809f11d053,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1966,England,golden_ball,Bobby Charlton,England,be617100-9f37-4fa9-9bf4-d75a52503ca4,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1970,Mexico,golden_ball,Pelé,Brazil,a743f121-2967-43e7-9e51-00fde0dc980e,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
1974,West Germany,golden_ball,Johan Cruyff,Netherlands,88ee1866-10fd-447f-baa9-bcddff7de0e1,2026-08-18T12:29:16.325863,world_cup_awards.xml,XML_WC_AWARDS,ebe3b807-d2d8-40c0-b202-60f947e7efea
