player,country,goals
Kylian Mbappé,France,22
Lionel Messi,Argentina,21
Miroslav Klose,Germany,16
Ronaldo,Brazil,15
Gerd Müller,Germany,14
Harry Kane,England,14
Just Fontaine,France,13
Pelé,Brazil,12
Sándor Kocsis,Hungary,11
Jürgen Klinsmann,Germany,11
Gabriel Batistuta,Argentina,10
Gary Lineker,England,10
Helmut Rahn,Germany,10
Thomas Müller,Germany,10
Grzegorz Lato,Poland,10
Teófilo Cubillas,Peru,10
Roberto Baggio,Italy,9
Christian Vieri,Italy,9
Paolo Rossi,Italy,9
David Villa,Spain,9
Eusébio,Portugal,9
Diego Maradona,Argentina,8
Cristiano Ronaldo,Portugal,8
Jude Bellingham,England,8
Erling Haaland,Norway,7
