award_id,year,player,country,club
1261,1956,Stanley Matthews,England,Blackpool
1262,1957,Alfredo Di Stéfano,Spain,Real Madrid
1263,1958,Raymond Kopa,France,Real Madrid
1264,1959,Alfredo Di Stéfano,Spain,Real Madrid
1265,1960,Luis Suárez,Spain,Barcelona
1266,1961,Omar Sívori,Italy,Juventus
1267,1962,Josef Masopust,Czechoslovakia,Dukla Prague
1268,1963,Lev Yashin,Soviet Union,Dynamo Moscow
1269,1964,Denis Law,Scotland,Manchester United
1270,1965,Eusébio,Portugal,Benfica
1271,1966,Bobby Charlton,England,Manchester United
1272,1967,Flórián Albert,Hungary,Ferencváros
1273,1968,George Best,Northern Ireland,Manchester United
1274,1969,Gianni Rivera,Italy,AC Milan
1275,1970,Gerd Müller,West Germany,Bayern Munich
1276,1971,Johan Cruyff,Netherlands,Ajax
1277,1972,Franz Beckenbauer,West Germany,Bayern Munich
1278,1973,Johan Cruyff,Netherlands,Barcelona
1279,1974,Johan Cruyff,Netherlands,Barcelona
1280,1975,Oleg Blokhin,Soviet Union,Dynamo Kyiv
1281,1976,Franz Beckenbauer,West Germany,Bayern Munich
1282,1977,Allan Simonsen,Denmark,Borussia Mönchengladbach
1283,1978,Kevin Keegan,England,Hamburg
1284,1979,Kevin Keegan,England,Hamburg
1285,1980,Karl-Heinz Rummenigge,West Germany,Bayern Munich
1286,1981,Karl-Heinz Rummenigge,West Germany,Bayern Munich
1287,1982,Paolo Rossi,Italy,Juventus
1288,1983,Michel Platini,France,Juventus
1289,1984,Michel Platini,France,Juventus
1290,1985,Michel Platini,France,Juventus
1291,1986,Igor Belanov,Soviet Union,Dynamo Kyiv
1292,1987,Ruud Gullit,Netherlands,AC Milan
1293,1988,Marco van Basten,Netherlands,AC Milan
1294,1989,Marco van Basten,Netherlands,AC Milan
1295,1990,Lothar Matthäus,Germany,Inter Milan
1296,1991,Jean-Pierre Papin,France,Marseille
1297,1992,Marco van Basten,Netherlands,AC Milan
1298,1993,Roberto Baggio,Italy,Juventus
1299,1994,Hristo Stoichkov,Bulgaria,Barcelona
1300,1995,George Weah,Liberia,AC Milan
1301,1996,Matthias Sammer,Germany,Borussia Dortmund
1302,1997,Ronaldo Nazário,Brazil,Inter Milan
1303,1998,Zinedine Zidane,France,Juventus
1304,1999,Rivaldo,Brazil,Barcelona
1305,2000,Luís Figo,Portugal,Real Madrid
1306,2001,Michael Owen,England,Liverpool
1307,2002,Ronaldo Nazário,Brazil,Real Madrid
1308,2003,Pavel Nedvěd,Czechia,Juventus
1309,2004,Andriy Shevchenko,Ukraine,AC Milan
1310,2005,Ronaldinho,Brazil,Barcelona
1311,2006,Fabio Cannavaro,Italy,Real Madrid
1312,2007,Kaká,Brazil,AC Milan
1313,2008,Cristiano Ronaldo,Portugal,Manchester United
1314,2009,Lionel Messi,Argentina,Barcelona
1315,2010,Lionel Messi,Argentina,Barcelona
1316,2011,Lionel Messi,Argentina,Barcelona
1317,2012,Lionel Messi,Argentina,Barcelona
1318,2013,Cristiano Ronaldo,Portugal,Real Madrid
1319,2014,Cristiano Ronaldo,Portugal,Real Madrid
1320,2015,Lionel Messi,Argentina,Barcelona
1321,2016,Cristiano Ronaldo,Portugal,Real Madrid
1322,2017,Cristiano Ronaldo,Portugal,Real Madrid
1323,2018,Luka Modrić,Croatia,Real Madrid
1324,2019,Lionel Messi,Argentina,Barcelona
1325,2020,NOT AWARDED,,COVID-19 pandemic cancellation
1326,2021,Lionel Messi,Argentina,Paris Saint-Germain
1327,2022,Karim Benzema,France,Real Madrid
1328,2023,Lionel Messi,Argentina,Paris Saint-Germain
1329,2024,Rodri,Spain,Manchester City
1330,2025,Ousmane Dembélé,France,Paris Saint-Germain
