team_id,team_name,confederation,confederation_full_name,debut_2026,best_wc_result,current_coach,current_fifa_rank,is_active,last_updated_at
1,Mexico,CONCACAF,"Confederation of North, Central America and Caribbean Association Football",False,"Quarter-finals (1970,1986)",Javier Aguirre,15,True,2026-07-21 09:12:46.886694
2,South Africa,CAF,Confédération Africaine de Football,False,"Group stage (1998,2002,2010)",Hugo Broos,60,True,2026-07-21 09:12:46.886694
3,South Korea,AFC,Asian Football Confederation,False,Semi-finals (2002),Hong Myung-bo,25,True,2026-07-21 09:12:46.886694
4,Czechia,UEFA,Union of European Football Associations,False,"Runner-up (1934,1962)",Ivan Hasek,41,True,2026-07-21 09:12:46.886694
5,Canada,CONCACAF,"Confederation of North, Central America and Caribbean Association Football",False,"Group stage (1986,2022)",Jesse Marsch,30,True,2026-07-21 09:12:46.886694
6,Switzerland,UEFA,Union of European Football Associations,False,"Quarter-finals (1934,1938,1954)",Murat Yakin,19,True,2026-07-21 09:12:46.886694
7,Qatar,AFC,Asian Football Confederation,False,Group stage (2022),Marquez Lopez,35,True,2026-07-21 09:12:46.886694
8,Bosnia and Herzegovina,UEFA,Union of European Football Associations,False,Group stage (2014),Sergej Barbarez,52,True,2026-07-21 09:12:46.886694
9,Morocco,CAF,Confédération Africaine de Football,False,Semi-finals (2022),Walid Regragui,8,True,2026-07-21 09:12:46.886694
10,Haiti,CONCACAF,"Confederation of North, Central America and Caribbean Association Football",False,Group stage (1974),Marc Collat,83,True,2026-07-21 09:12:46.886694
11,Scotland,UEFA,Union of European Football Associations,False,Group stage (multiple),Steve Clarke,47,True,2026-07-21 09:12:46.886694
12,USA,CONCACAF,"Confederation of North, Central America and Caribbean Association Football",False,Third place (1930),Mauricio Pochettino,16,True,2026-07-21 09:12:46.886694
13,Paraguay,CONMEBOL,Confederación Sudamericana de Fútbol,False,Quarter-finals (2010),Gustavo Alfaro,64,True,2026-07-21 09:12:46.886694
14,Australia,AFC,Asian Football Confederation,False,"Round of 16 (2006,2022)",Tony Popovic,26,True,2026-07-21 09:12:46.886694
15,Türkiye,UEFA,Union of European Football Associations,False,Third place (2002),Vincenzo Montella,42,True,2026-07-21 09:12:46.886694
16,Curaçao,CONCACAF,"Confederation of North, Central America and Caribbean Association Football",True,First appearance,Dick Advocaat,81,True,2026-07-21 09:12:46.886694
17,Ivory Coast,CAF,Confédération Africaine de Football,False,"Group stage (2006,2010,2014)",Emerse Faé,33,True,2026-07-21 09:12:46.886694
18,Ecuador,CONMEBOL,Confederación Sudamericana de Fútbol,False,Round of 16 (2006),Sebastián Beccacece,24,True,2026-07-21 09:12:46.886694
19,Netherlands,UEFA,Union of European Football Associations,False,"Runner-up (1974,1978,2010)",Ronald Koeman,7,True,2026-07-21 09:12:46.886694
