match_id,edition_year,stage,team1_name,team2_name,score1,score2,goal_difference,match_winner,venue,city,country,match_date,notes
1,1930,Group Stage,France,Mexico,4,1,3,France,Estadio Centenario,Montevideo,Uruguay,1930-07-13,First ever WC match
2,1930,Group Stage,Yugoslavia,Brazil,2,1,1,Yugoslavia,Estadio Centenario,Montevideo,Uruguay,1930-07-14,
3,1930,Semi-final,Uruguay,Yugoslavia,6,1,5,Uruguay,Estadio Centenario,Montevideo,Uruguay,1930-07-27,
4,1930,Final,Uruguay,Argentina,4,2,2,Uruguay,Estadio Centenario,Montevideo,Uruguay,1930-07-30,First WC Final
5,1934,Quarter-final,Italy,Spain,1,1,0,Draw,PNF Stadium,Florence,Italy,1934-05-31,AET - replay
6,1934,Semi-final,Italy,Austria,1,0,1,Italy,San Siro,Milan,Italy,1934-06-03,
7,1934,Final,Italy,Czechoslovakia,2,1,1,Italy,PNF Stadium,Rome,Italy,1934-06-10,AET
8,1930,Group Stage,USA,Belgium,3,0,3,USA,Estadio Centenario,Montevideo,Uruguay,1930-07-13,
9,1934,Semi-final,Germany,Sweden,3,1,2,Germany,Stadio Bentegodi,Bologna,Italy,1934-06-03,
10,1938,Round of 16,Brazil,Poland,6,5,1,Brazil,Stade de la Meinau,Strasbourg,France,1938-06-05,AET - 11 goals!
11,1938,Quarter-final,Brazil,Czechoslovakia,1,1,0,Draw,Stade de la Meinau,Bordeaux,France,1938-06-12,Replay
12,1938,Semi-final,Italy,Brazil,2,1,1,Italy,Stade de Colombes,Paris,France,1938-06-16,
13,1938,Semi-final,Hungary,Sweden,5,1,4,Hungary,Stade Olympique,Paris,France,1938-06-16,
14,1938,Final,Italy,Hungary,4,2,2,Italy,Stade de Colombes,Paris,France,1938-06-19,
15,1950,Group Stage,Brazil,Mexico,4,0,4,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-06-24,
16,1950,Group Stage,England,USA,0,1,1,USA,Estádio Independência,Belo Horizonte,Brazil,1950-06-29,Greatest WC upset ever
17,1950,Final Round,Brazil,Sweden,7,1,6,Brazil,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-09,
18,1950,Final Round,Uruguay,Sweden,3,2,1,Uruguay,Estádio do Maracanã,São Paulo,Brazil,1950-07-09,
19,1950,Final Round,Uruguay,Brazil,2,1,1,Uruguay,Estádio do Maracanã,Rio de Janeiro,Brazil,1950-07-16,Maracanazo
20,1954,Group Stage,Hungary,South Korea,9,0,9,Hungary,Hardturm,Zürich,Switzerland,1954-06-17,
21,1954,Group Stage,West Germany,Hungary,3,8,5,Hungary,Wankdorf,Bern,Switzerland,1954-06-20,
22,1954,Quarter-final,Austria,Switzerland,7,5,2,Austria,Hardturm,Lausanne,Switzerland,1954-06-26,Highest scoring WC match ever
23,1954,Semi-final,West Germany,Austria,6,1,5,West Germany,Wankdorf,Basel,Switzerland,1954-06-30,
24,1954,Semi-final,Hungary,Uruguay,4,2,2,Hungary,Stade Olympique,Lausanne,Switzerland,1954-06-30,
25,1954,3rd Place,Austria,Uruguay,3,1,2,Austria,Hardturm,Zürich,Switzerland,1954-07-03,
26,1954,Final,West Germany,Hungary,3,2,1,West Germany,Wankdorf,Bern,Switzerland,1954-07-04,Miracle of Bern
27,1958,Group Stage,Brazil,Austria,3,0,3,Brazil,Ryavallen,Borås,Sweden,1958-06-08,
