year,host,champion,total_matches,total_goals,goals_per_match,total_attendance,avg_attendance_per_match,avg_ticket_price_usd,estimated_revenue_usd
1930,Uruguay,Uruguay,18,70,3.89,590549,32808.28,15.0,8858235.0
1934,Italy,Italy,17,70,4.12,363000,21352.94,20.8,7550400.0
1938,France,Italy,18,84,4.67,375700,20872.22,26.6,9993620.0
1950,Brazil,Uruguay,22,88,4.0,1045246,47511.18,44.0,45990824.0
1954,Switzerland,West Germany,26,140,5.38,768607,29561.81,49.8,38276628.6
1958,Sweden,Brazil,35,126,3.6,819810,23423.14,55.6,45581436.0
1962,Chile,Brazil,32,89,2.78,893172,27911.63,61.4,54840760.8
1966,England,England,32,89,2.78,1563135,48847.97,67.2,105042672.0
1970,Mexico,Brazil,32,95,2.97,1603975,50124.22,73.0,117090175.0
1974,West Germany,West Germany,38,97,2.55,1865753,49098.76,78.8,147021336.4
1978,Argentina,Argentina,38,102,2.68,1545791,40678.71,84.6,130773918.6
1982,Spain,Italy,52,146,2.81,1766277,33966.87,90.4,159671440.8
1986,Mexico,Argentina,52,132,2.54,2394031,46039.06,96.2,230305782.2
1990,Italy,West Germany,52,115,2.21,2516215,48388.75,102.0,256653930.0
1994,United States,Brazil,52,141,2.71,3587538,68991.12,107.8,386736596.4
1998,France,France,64,171,2.67,2785100,43517.19,113.6,316387360.0
2002,South Korea / Japan,Brazil,64,161,2.52,2705197,42268.7,119.4,323000521.8
2006,Germany,Italy,64,147,2.3,3359439,52491.23,125.2,420601762.8
2010,South Africa,Spain,64,145,2.27,3178856,49669.63,131.0,416430136.0
2014,Brazil,Germany,64,171,2.67,3429873,53591.77,136.8,469206626.4
2018,Russia,France,64,169,2.64,3031768,47371.38,142.6,432330116.8
2022,Qatar,Argentina,64,172,2.69,3404252,53191.44,148.4,505190996.8
