team_key,team_name,group_letter,confederation,fifa_rank,coach,best_wc_result,debut_2026,effective_start_date,effective_end_date,current_flag,version_number,created_at
1,Mexico,A,CONCACAF,15,Javier Aguirre,"Quarter-finals (1970,1986)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
2,South Africa,A,CAF,60,Hugo Broos,"Group stage (1998,2002,2010)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
3,South Korea,A,AFC,25,Hong Myung-bo,Semi-finals (2002),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
4,Czechia,A,UEFA,41,Ivan Hasek,"Runner-up (1934,1962)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
5,Canada,B,CONCACAF,30,Jesse Marsch,"Group stage (1986,2022)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
6,Switzerland,B,UEFA,19,Murat Yakin,"Quarter-finals (1934,1938,1954)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
7,Qatar,B,AFC,35,Marquez Lopez,Group stage (2022),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
8,Bosnia and Herzegovina,B,UEFA,52,Sergej Barbarez,Group stage (2014),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
10,Morocco,C,CAF,8,Walid Regragui,Semi-finals (2022),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
11,Haiti,C,CONCACAF,83,Marc Collat,Group stage (1974),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
12,Scotland,C,UEFA,47,Steve Clarke,Group stage (multiple),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
13,USA,D,CONCACAF,16,Mauricio Pochettino,Third place (1930),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
14,Paraguay,D,CONMEBOL,64,Gustavo Alfaro,Quarter-finals (2010),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
15,Australia,D,AFC,26,Tony Popovic,"Round of 16 (2006,2022)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
16,Türkiye,D,UEFA,42,Vincenzo Montella,Third place (2002),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
18,Curaçao,E,CONCACAF,81,Dick Advocaat,First appearance,True,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
19,Ivory Coast,E,CAF,33,Emerse Faé,"Group stage (2006,2010,2014)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
20,Ecuador,E,CONMEBOL,24,Sebastián Beccacece,Round of 16 (2006),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
21,Netherlands,F,UEFA,7,Ronald Koeman,"Runner-up (1974,1978,2010)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
22,Japan,F,AFC,18,Hajime Moriyasu,"Round of 16 (2002,2010,2018,2022)",False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
23,Sweden,F,UEFA,39,Jon Dahl Tomasson,Runner-up (1958),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
24,Tunisia,F,CAF,40,Faouzi Benzarti,Group stage (6 apps),False,2026-07-15,9999-12-31,True,1,2026-07-15 14:37:37.669673
